Timestamp,gender,gender_code,age_group,20min frequency,blick frequency,NZZ frequenzy,tv frequency,social media frequency,press frequency,information sources,update frequency,comm channels,situations,share frequency
2018/04/15 12:51:20 pm EET,male,1,3,3,1,2,2,1,2,"1,2,3,4",2,"1,6","1,4",6
2018/04/15 1:08:39 pm EET,male,1,3,1,1,1,2,1,2,2,4,"1,6",5,2
2018/04/15 1:10:54 pm EET,male,1,2,1,3,2,3,1,2,2,2,1,5,6
2018/04/15 1:15:29 pm EET,male,1,2,2,1,1,4,2,1,"1,2",5,1,1,5
2018/04/16 11:23:09 am EET,male,1,2,1,1,4,1,2,2,"2,4",3,"1,2,3,4,6",5,3
2018/04/16 11:23:33 am EET,male,1,2,4,1,1,1,2,2,"2,4",2,"1,2,5,6",5,4
2018/04/16 11:23:43 am EET,male,1,1,2,1,1,3,5,1,"1,2",5,"1,3,4,5,6","1,2,3",5
2018/04/16 11:24:38 am EET,female,2,7,3,1,2,3,1,2,"2,4",4,"1,6",5,5
2018/04/16 11:24:45 am EET,male,1,2,2,3,1,1,1,2,2,4,"1,5",5,5
2018/04/16 11:25:17 am EET,male,1,2,1,1,2,9,1,2,"1,3,4",4,"1,5,6",5,6
2018/04/16 11:25:19 am EET,male,1,2,4,3,1,3,2,2,"1,2,3",3,1,"1,3",6
2018/04/16 11:25:20 am EET,male,1,3,4,1,1,2,1,2,"2,3",2,"1,5,6",5,6
2018/04/16 11:25:22 am EET,female,2,6,2,1,1,2,1,1,3,5,"1,5,6",5,4
2018/04/16 11:26:05 am EET,male,1,6,2,1,1,2,1,2,4,4,"1,5,6",5,5
2018/04/16 11:27:04 am EET,male,1,3,1,1,1,5,6,1,"1,2,3",5,"1,2",5,4
2018/04/16 11:29:38 am EET,male,1,2,4,1,1,4,5,2,"1,2,3,4",3,"1,3,4,5",5,5
2018/04/16 11:32:21 am EET,male,1,6,3,3,1,3,1,3,2,2,"5,6",5,6
2018/04/16 11:34:01 am EET,male,1,7,2,3,1,2,1,2,"2,3,4",3,"1,5,6",5,6
2018/04/16 11:35:34 am EET,female,2,4,3,1,1,3,1,2,"2,3",4,1,5,5
2018/04/16 11:35:45 am EET,male,1,7,2,3,1,4,3,2,"1,2",4,"1,5,6",5,4
